left_hand,mark_left,mark_right,right_hand
387.217758179,358.000464931,396.134486647,239.464447021
388.506546021,357.687699364,396.785415416,240.884613037
388.384780884,357.357572758,397.428591419,244.590118408
387.393119812,357.010148727,398.063974124,247.766586304
385.008010864,356.645486763,398.691526334,251.284057617
384.981651306,356.263642344,399.31121402,254.254745483
384.933921814,355.864667058,399.923006171,255.831878662
382.821228027,355.448608718,400.526874635,256.876846313
382.754707336,355.015511477,401.12279398,257.751296997
378.180152893,354.565415954,401.710741342,260.243988037
377.632835388,354.09835935,402.290696284,263.979431152
376.04801178,353.61437557,402.862640663,269.295623779
375.410491943,353.113495347,403.426558491,271.372833252
372.992073059,352.595746365,403.982435808,274.961334229
372.429199219,352.061153378,404.530260551,276.78453064
371.950942993,351.509738347,405.07002243,279.445053101
372.047142029,350.941520553,405.601712809,282.072906494
369.663589478,350.356516738,406.125324586,285.231216431
369.300170898,349.754741225,406.640852075,287.307113647
368.753463745,349.136206053,407.148290898,289.11177063
367.600997925,348.500921108,407.647637872,290.051895142
364.624282837,347.848894256,408.138890903,290.414703369
361.78678894,347.180131483,408.622048881,290.784393311
358.836105347,346.494637027,409.097111577,291.020324707
355.878417969,345.792413519,409.564079545,291.654953003
354.44960022,345.073462125,410.022954024,292.120315552
351.992782593,344.337782688,410.473736843,293.441848755
349.446472168,343.585373877,410.916430326,295.188232422
346.433059692,342.81623333,411.351037205,297.316726685
344.758148193,342.030357807,411.777560529,299.878479004
343.520950317,341.227743344,412.196003577,301.585021973
339.088226318,340.408385404,412.606369774,303.810775757
336.816879272,339.572279044,413.008662607,306.104217529
334.5572052,338.719419068,413.402885546,308.769515991
332.179672241,337.849800197,413.789041959,310.55960083
331.342102051,336.963417236,414.16713504,311.500137329
331.167175293,336.060265242,414.537167727,311.882614136
331.322738647,335.140339706,414.899142633,309.965667725
334.38734436,334.203636726,415.253061965,302.974655151
337.559738159,333.250153193,415.598927457,296.034255981
341.810974121,332.279886975,415.936740295,293.809265137
349.759552002,331.292837111,416.26650105,294.643600464
356.86390686,330.289004004,416.588209607,297.986526489
364.259338379,329.268389624,416.901865099,302.446609497
369.199066162,328.230997709,417.207465838,305.919326782
